Gene	TCGA-44-7670-01A	TCGA-62-A46Y-01A	TCGA-97-7546-01A	TCGA-97-7938-01A	TCGA-CD-A48A-01A	TCGA-CD-A48C-01A	TCGA-MP-A4TJ-01A	TCGA-VQ-A91N-01A
ADGRB2	  0.00000	200.00000	  0.00000	 10.28571	200.00000	200.00000	  0.00000	200.00000
ADGRL4	  0.00	200.00	  0.00	 10.14	200.00	200.00	  0.00	200.00
AF165138.7	  0	200	  0	  0	200	200	  0	200
AL050302.1	  0	200	  0	200	200	200	  0	200
ARID1A	 10.38333	  0.00000	  0.00000	110.34884	  0.00000	  0.00000	  0.00000	  0.00000
C1orf94	 0.00000	 0.00000	 0.00000	10.32609	 0.00000	 0.00000	 0.00000	 0.00000
C8A	  0.00000	200.00000	  0.00000	 10.33333	200.00000	200.00000	  0.00000	200.00000
COA7	 0.000	 0.000	 0.000	10.125	 0.000	 0.000	 0.000	 0.000
HNRNPCL1	 0.00000	 0.00000	 0.00000	10.38158	 0.00000	 0.00000	 0.00000	 0.00000
NRIP1	  0	200	  0	  0	200	200	  0	200
PADI1	 0.00000	 0.00000	 0.00000	10.19101	 0.00000	 0.00000	 0.00000	 0.00000
POTED	  0	200	  0	200	200	200	  0	200
PTCHD2	  0.00000	200.00000	  0.00000	 10.36842	200.00000	200.00000	  0.00000	200.00000
SSBP3	  0.0000	200.0000	  0.0000	210.3342	200.0000	200.0000	  0.0000	200.0000
